,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,ncumul_deceased_suspect,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
277,2020-04-18 20:03:20,2020-03-19 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,111,111,1,12,5,35.23,0.317,,0,1,,,,,,,,25,0,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,3.077887,0.0
296,2020-04-18 20:03:20,2020-03-20 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,145,145,8,20,6,46.02,0.317,,0,1,,,,,,,,34,0,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,2.691093,0.0
318,2020-04-18 20:03:20,2020-03-21 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,167,167,8,28,6,53.0,0.635,,0,2,,,,,,,,22,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,2.642914,0.0
335,2020-04-18 20:03:20,2020-03-22 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,202,202,4,32,8,64.11,0.952,,0,3,,,,,,,,35,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,2.816,0.0
354,2020-04-18 20:03:20,2020-03-23 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,226,226,3,35,7,71.72,1.269,,0,4,,,,,,,,24,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,3.587021,2.5
378,2020-04-18 20:03:20,2020-03-24 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,255,255,0,35,7,80.93,1.587,,0,5,,,,,,,,29,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,4.166883,2.153383
403,2020-04-18 20:03:20,2020-03-25 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,293,293,4,39,7,92.99,1.904,,0,6,,,,,,,,38,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,4.926847,1.934264
429,2020-04-18 20:03:20,2020-03-26 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,309,309,5,44,5,98.06,3.491,,0,11,,,,,,,,16,5,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,5.632161,2.03299
456,2020-04-18 20:03:20,2020-03-27 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,369,369,6,50,8,117.11,4.76,,0,15,,,,,,,,60,4,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,5.751982,2.153383
481,2020-04-18 20:03:20,2020-03-28 02:00:00,30,FR,Fribourg,10,46.718391,7.074008,421,421,17,67,12,133.61,4.76,,0,15,,,,,,,,52,0,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,5.571046,2.62207
503,2020-04-18 20:03:20,2020-03-29 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,442,442,9,76,13,140.27,5.078,,0,16,,,,,,,,21,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,6.300807,2.97961
526,2020-04-18 20:03:20,2020-03-30 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,477,477,1,77,16,151.38,5.395,,0,17,,,,,,,,35,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,7.111479,3.327786
552,2020-04-18 20:03:20,2020-03-31 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,491,491,0,77,20,155.82,6.347,,0,20,,,,,,,,14,3,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,7.483728,5.797125
578,2020-04-18 20:03:20,2020-04-01 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,525,525,4,81,23,166.61,7.299,,0,23,,,,,,,,34,3,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,9.829041,8.108046
605,2020-04-18 20:03:20,2020-04-02 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,550,550,-1,80,23,174.55,8.251,,0,26,,,,,,,,25,3,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,12.966422,6.300807
632,2020-04-18 20:03:20,2020-04-03 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,588,588,-3,77,21,186.61,9.838,46,0,31,,,,,,,,38,5,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,12.142707,5.240012
658,2020-04-18 20:03:20,2020-04-04 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,638,638,12,89,21,202.48,11.742,49,0,37,,,,,,,,50,6,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,11.917043,4.456366
680,2020-04-18 20:03:20,2020-04-05 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,669,669,-2,87,20,212.31,12.694,55,0,40,,,,,,,,31,3,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,11.203649,5.0
703,2020-04-18 20:03:20,2020-04-06 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,689,689,0,87,19,218.66,13.012,56,0,41,,,,,,,,20,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,12.749035,5.995275
730,2020-04-18 20:03:20,2020-04-07 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,729,729,-9,78,22,231.36,13.964,73,0,44,,,,,,,,40,3,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,12.30051,6.587686
756,2020-04-18 20:03:20,2020-04-08 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,756,756,2,80,22,239.92,14.281,78,0,45,,,,,,,,27,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,13.790437,9.299613
782,2020-04-18 20:03:20,2020-04-09 13:00:00,30,FR,Fribourg,10,46.718391,7.074008,786,786,0,80,20,249.44,14.599,84,0,46,,,,,,,,30,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,16.612792,15.918062
808,2020-04-18 20:03:20,2020-04-10 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,796,796,-7,73,19,252.62,15.551,88,0,49,,,,,,,,10,3,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,19.939208,17.077567
833,2020-04-18 20:03:20,2020-04-11 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,834,834,-5,68,20,264.68,16.82,93,0,53,,,,,,,,38,4,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,18.145962,13.50007
857,2020-04-18 20:03:20,2020-04-12 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,846,846,-3,65,19,268.49,17.137,97,0,54,,,,,,,,12,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,23.284096,16.923
882,2020-04-18 20:03:20,2020-04-13 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,859,859,3,68,17,272.61,17.455,97,0,55,,,,,,,,13,1,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,27.133817,17.270762
907,2020-04-18 20:03:20,2020-04-14 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,879,879,0,68,14,278.96,18.089,98,0,57,,,,,,,,20,2,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,30.991636,16.164069
934,2020-04-18 20:03:20,2020-04-15 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,890,890,-7,61,16,282.45,19.994,105,0,63,,,,,,,,11,6,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,31.048783,13.790437
961,2020-04-18 20:03:20,2020-04-16 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,907,907,-1,60,15,287.85,20.628,105,0,65,,,,,,,,17,2,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,41.303483,16.980964
988,2020-04-18 20:03:20,2020-04-17 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,930,930,6,66,13,295.14,21.263,106,0,67,,,,,,,,23,2,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,36.610443,16.066751
1011,2020-04-18 20:03:20,2020-04-18 01:00:00,30,FR,Fribourg,10,46.718391,7.074008,956,956,1,67,11,303.4,21.898,109,0,69,,,,,,,,26,2,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton,32.393388,15.28282
